paisDestinoIda,COUNT(paisDestinoIda)
USA,579
Argentina,293
Portugal,206
Germany,170
France,169
Switzerland,138
Spain,122
China,117
UK,96
Mexico,82
Belgium,80
Uruguay,80
Peru,74
Italy,73
Chile,68
Colombia,63
India,43
Bolivia,42
Sweden,39
Netherlands,36
Ecuador,36
United Arab Emirates,31
South Africa,30
Russia,27
Austria,26
Japan,25
Canada,24
Paraguay,23
Mozambique,22
Australia,21
South Korea,18
Israel,17
FINLAND,16
Denmark,15
Singapore,14
Norway,14
Cape Verde,13
Cuba,13
Costa Rica,13
Venezuela,12
MOROCCO,12
Malaysia,12
Czech republic,11
Hong Kong,11
Ireland,11
French Guiana,10
Haiti,9
Turkey,8
Guatemala,8
Greece,8
Bosnia Herzegovina,7
Indonesia,7
Kenya,7
Panama,7
Dominican Republic,7
Sao Tome and Principe,6
Angola,6
Taiwan,6
Egypt,5
Sri Lanka,5
benin,5
Zambia,5
HUNGARY,5
SAUDI ARABIA,5
Ethiopia,5
NICARAGUA,5
Jordan,5
Nigeria,5
suriname,5
belize,4
Costa do Marfim,4
Vietnam,4
Luxembourg,4
Senegal,4
Burkina Faso,4
BAHAMAS,4
Slovenia,4
Bangladesh,4
Poland,4
Tunisia,4
Serbia,4
Bulgaria,3
Guinea Bissau,3
Ukraine,3
barbados,3
Qatar,3
Philippines,3
Puerto Rico,3
Will,3
Malawi,3
Lebanon,3
Democratic Republic of Congo,3
Jamaica,3
Georgia,2
Pakistan,2
El Salvador,2
Thailand,2
Ghana,2
New Zealand,2
dominica,2
Namibia,2
Estonia,2
Azerbaijan,2
Togolese Republic,2
Saint Lucia,2
Kuwait,2
Equatorial Guinea,2
Uganda,2
Algeria,2
Mauritania,2
Gabon,1
Marshall Islands,1
Botswana,1
Armenia,1
Sierra Leone,1
Lithuania,1
Tanzania,1
Latvia,1
Kazakhstan,1
BERMUDA,1
Madagascar,1
Central African Republic,1
Mauritius,1
Croatia,1
Guyana (Guyana),1
Oman,1
Cyprus,1
Slovak Republic,1
Honduras,1
Nepal,1
Zimbabwe,1
Romania,1
